"","x","y","median_weekly_rent","approximate_date","poa_code"
"262",405.55980250458,149.239047619048,643.271756978653,2012-08-26,"6010"
"263",406.96245915555,148.973142857143,642.125615763547,2012-09-05,"6010"
"264",408.36511580652,144.486,622.784482758621,2012-09-14,"6010"
"265",409.76777245748,143.920952380952,620.348932676519,2012-09-24,"6010"
"266",411.17042910845,141.694,610.75,2012-10-04,"6010"
"267",412.57308575942,145.383428571429,626.652709359606,2012-10-14,"6010"
"268",414.57688097509,147.344476190476,635.105500821018,2012-10-24,"6010"
"269",415.98788677279,148.341619047619,639.403530377668,2012-11-03,"6010"
"270",417.39054342376,149.305523809524,643.55829228243,2012-11-13,"6010"
"271",418.79320007472,149.305523809524,643.55829228243,2012-11-23,"6010"
"272",420.59661576883,151.99780952381,655.162972085386,2012-12-03,"6010"
"273",421.99927241979,149.106095238095,642.6986863711,2012-12-13,"6010"
"274",423.40192907076,147.676857142857,636.538177339901,2012-12-22,"6010"
"275",424.80458572173,150.701523809524,649.575533661741,2013-01-01,"6010"
"276",426.8083809374,152.230476190476,656.165845648604,2013-01-11,"6010"
"277",428.21103758837,151.798380952381,654.303366174056,2013-01-21,"6010"
"278",429.61369423933,150.269428571429,647.713054187192,2013-01-31,"6010"
"279",431.0163508903,145.582857142857,627.512315270936,2013-02-10,"6010"
"280",432.8197665844,142.957047619048,616.194170771757,2013-02-20,"6010"
"281",434.22242323537,139.001714285714,599.145320197044,2013-03-02,"6010"
"282",435.62507988634,137.007428571429,590.549261083744,2013-03-12,"6010"
"283",437.02773653731,135.179333333333,582.669540229885,2013-03-21,"6010"
"284",439.03153175298,138.802285714286,598.285714285714,2013-03-31,"6010"
"285",440.43418840394,145.35019047619,626.509441707717,2013-04-10,"6010"
"286",441.83684505491,147.377714285714,635.248768472907,2013-04-20,"6010"
"287",443.23950170588,147.344476190476,635.105500821018,2013-04-30,"6010"
"288",445.24329692155,148.50780952381,640.11986863711,2013-05-10,"6010"
"289",446.64595357252,149.53819047619,644.561165845649,2013-05-20,"6010"
"290",448.04861022349,145.981714285714,629.231527093596,2013-05-30,"6010"
"291",449.45126687445,141.261904761905,608.887520525452,2013-06-09,"6010"
"292",451.25468256855,138.902,598.715517241379,2013-06-18,"6010"
"293",452.64899007279,137.971333333333,594.704022988506,2013-06-28,"6010"
"294",454.05164672376,138.636095238095,597.569376026272,2013-07-08,"6010"
"295",455.45430337473,138.436666666667,596.709770114943,2013-07-18,"6010"
"296",457.4580985904,145.483142857143,627.082512315271,2013-07-28,"6010"
"297",458.86075524136,144.419523809524,622.497947454844,2013-08-07,"6010"
"298",460.26341189233,145.948476190476,629.088259441708,2013-08-17,"6010"
"299",461.6660685433,147.311238095238,634.96223316913,2013-08-27,"6010"
"300",463.4694842374,145.682571428571,627.942118226601,2013-09-06,"6010"
